metric,measure,which_comparisons
cosine,1.0,SAME
cosine,0.7639787793159485,SAME
cosine,0.9229903221130371,SAME
cosine,0.7155810594558716,SAME
cosine,0.8925285935401917,SAME
cosine,0.8660255670547485,SAME
cosine,0.7408958673477173,SAME
cosine,0.12428221851587296,SAME
cosine,0.8880823850631714,SAME
cosine,0.9438838362693787,SAME
cosine,0.9523589611053467,SAME
cosine,0.29031309485435486,SAME
cosine,0.9553712606430054,SAME
cosine,0.7867596745491028,SAME
cosine,0.8935486078262329,SAME
cosine,0.8923340439796448,SAME
cosine,0.5536488890647888,SAME
cosine,0.8280839920043945,SAME
cosine,1.0,SAME
cosine,0.9030854105949402,SAME
cosine,0.8502062559127808,SAME
cosine,1.0000001192092896,SAME
cosine,0.8525357842445374,SAME
cosine,0.551520586013794,SAME
cosine,0.7265610694885254,SAME
cosine,1.0000001192092896,SAME
cosine,0.8319756388664246,SAME
cosine,0.9165856838226318,SAME
cosine,1.0,SAME
cosine,0.6202889084815979,SAME
cosine,0.8267756104469299,SAME
cosine,0.7115450501441956,SAME
cosine,0.9314598441123962,SAME
cosine,0.7738070487976074,SAME
cosine,0.8472751975059509,SAME
cosine,1.0,SAME
cosine,0.3306448757648468,SAME
cosine,0.7600889205932617,SAME
cosine,0.9999999403953552,SAME
cosine,0.9430460333824158,SAME
cosine,0.8730807304382324,SAME
cosine,0.4317983090877533,DIFF
cosine,0.6530064940452576,DIFF
cosine,0.277463436126709,DIFF
cosine,0.724776029586792,DIFF
cosine,0.3313259780406952,DIFF
cosine,0.5720611214637756,DIFF
cosine,0.5645887851715088,DIFF
cosine,0.7263425588607788,DIFF
cosine,0.6122801303863525,DIFF
cosine,0.5828786492347717,DIFF
cosine,0.2238077074289322,DIFF
cosine,0.7024690508842468,DIFF
cosine,0.647060751914978,DIFF
cosine,0.3381507098674774,DIFF
cosine,0.5135190486907959,DIFF
cosine,0.3856830894947052,DIFF
cosine,0.21873624622821808,DIFF
cosine,0.7124081254005432,DIFF
cosine,0.26271435618400574,DIFF
cosine,0.6174628734588623,DIFF
cosine,0.7576833367347717,DIFF
cosine,0.6834027767181396,DIFF
cosine,0.4426968991756439,DIFF
cosine,0.626586377620697,DIFF
cosine,0.6491820812225342,DIFF
cosine,0.28383752703666687,DIFF
cosine,0.5587605834007263,DIFF
cosine,0.502249002456665,DIFF
cosine,0.21745361387729645,DIFF
cosine,0.4371621012687683,DIFF
cosine,0.5975908041000366,DIFF
cosine,0.2892235815525055,DIFF
cosine,0.5836724042892456,DIFF
cosine,0.6852708458900452,DIFF
cosine,0.2756422162055969,DIFF
cosine,0.0,DIFF
cosine,0.80010586977005,DIFF
cosine,0.6392406821250916,DIFF
cosine,0.9208881258964539,DIFF
cosine,0.0,DIFF
cosine,0.47991523146629333,DIFF
cosine,0.5089552402496338,DIFF
cosine,0.6006606817245483,DIFF
cosine,0.5178320407867432,DIFF
cosine,0.32909438014030457,DIFF
cosine,0.24114343523979187,DIFF
cosine,0.7935419678688049,DIFF
cosine,0.6151316165924072,DIFF
cosine,0.0,DIFF
cosine,0.09177687019109726,DIFF
cosine,0.4804764986038208,DIFF
cosine,0.7596635818481445,DIFF
cosine,0.8438393473625183,DIFF
cosine,0.3930583894252777,DIFF
cosine,0.6802151203155518,DIFF
cosine,0.0,DIFF
cosine,0.45142102241516113,DIFF
cosine,0.6487833261489868,DIFF
cosine,0.599854052066803,DIFF
cosine,0.5054608583450317,DIFF
cosine,0.41669806838035583,DIFF
cosine,0.6280286908149719,DIFF
cosine,0.6560245752334595,DIFF
cosine,0.6858404278755188,DIFF
cosine,0.40522757172584534,DIFF
cosine,0.5208327174186707,DIFF
cosine,0.37487658858299255,DIFF
cosine,0.7578407526016235,DIFF
cosine,0.62968510389328,DIFF
cosine,0.7697597146034241,DIFF
cosine,0.18483783304691315,DIFF
cosine,0.5032572150230408,DIFF
cosine,0.7748518586158752,DIFF
cosine,0.5084768533706665,DIFF
cosine,0.5146380066871643,DIFF
cosine,0.6624808311462402,DIFF
cosine,0.2512577772140503,DIFF
cosine,0.576386570930481,DIFF
cosine,0.6560718417167664,DIFF
cosine,0.1621759980916977,DIFF
cosine,0.16395585238933563,DIFF
cosine,0.6331642270088196,DIFF
cosine,0.0899219661951065,DIFF
cosine,0.6057082414627075,DIFF
cosine,0.6882911920547485,DIFF
cosine,0.15217390656471252,DIFF
cosine,0.6869086623191833,DIFF
cosine,0.6583727598190308,DIFF
cosine,0.3909616768360138,DIFF
cosine,0.7091132402420044,DIFF
cosine,0.625424861907959,DIFF
cosine,0.6700713634490967,DIFF
cosine,0.5235533714294434,DIFF
cosine,0.2726372480392456,DIFF
cosine,0.5139206647872925,DIFF
cosine,0.38934242725372314,DIFF
cosine,0.4261902868747711,DIFF
cosine,0.3648514449596405,DIFF
cosine,0.6332987546920776,DIFF
cosine,0.5543983578681946,DIFF
cosine,0.5181551575660706,DIFF
cosine,0.2083430141210556,DIFF
cosine,0.6178971529006958,DIFF
cosine,0.8588539361953735,DIFF
cosine,0.7543340921401978,DIFF
cosine,0.5728752017021179,DIFF
cosine,0.7227511405944824,DIFF
cosine,0.7593867182731628,DIFF
cosine,0.9999999403953552,DIFF
cosine,0.8174957633018494,DIFF
cosine,0.7773517966270447,DIFF
cosine,0.5055854320526123,DIFF
cosine,0.6018926501274109,DIFF
cosine,0.6765840649604797,DIFF
cosine,0.4032449722290039,DIFF
cosine,1.0000001192092896,DIFF
cosine,0.3617212772369385,DIFF
cosine,0.6431376338005066,DIFF
MUSE_cloud,0.897133795114664,SAME
MUSE_cloud,0.9068405151367187,SAME
MUSE_cloud,0.9373660534620285,SAME
MUSE_cloud,0.8042213283479214,SAME
MUSE_cloud,0.929019337350672,SAME
MUSE_cloud,0.8122738182544709,SAME
MUSE_cloud,0.9479876710818365,SAME
MUSE_cloud,0.8924039964165006,SAME
MUSE_cloud,0.7858676324288051,SAME
